t,T_e,T_p
399.5959595959596,309.16645314371846,306.456284614886
399.6969696969697,309.1642414024039,306.4564765378355
399.7979797979798,309.1620316036453,306.4566682907965
399.8989898989899,309.1598237457229,306.4568598739224
400.0,309.1576178269187,306.4570512873665
400.1010101010101,309.1554138455159,306.45724253128213
400.2020202020202,309.1532117997996,306.4574336058222
400.3030303030303,309.15101168805614,306.45762451113967
400.4040404040404,309.1488135085737,306.4578152473874
400.5050505050505,309.14661725964186,306.4580058147178
400.6060606060606,309.14442293955176,306.45819621328354
400.7070707070707,309.1422305465962,306.4583864432368
400.80808080808083,309.1400400790694,306.4585765047299
400.90909090909093,309.13785153526726,306.45876639791476
401.010101010101,309.1356649134872,306.4589561229434
401.1111111111111,309.133480212028,306.45914567996755
401.2121212121212,309.1312974291904,306.4593350691388
401.3131313131313,309.12911656327634,306.4595242906086
401.4141414141414,309.12693761258953,306.4597133445283
401.5151515151515,309.12476057543506,306.45990223104917
401.6161616161616,309.12258545011974,306.4600909503222
401.7171717171717,309.1204122349519,306.4602795024983
401.8181818181818,309.1182409282414,306.46046788772816
401.9191919191919,309.1160715282995,306.4606561061625
402.020202020202,309.11390403343944,306.4608441579517
402.1212121212121,309.11173844197555,306.46103204324623
402.22222222222223,309.10957475222403,306.46121976219615
402.32323232323233,309.1074129625024,306.46140731495154
402.42424242424244,309.10525307113,306.4615947016623
402.52525252525254,309.1030950764275,306.4617819224782
402.62626262626264,309.10093897671726,306.46196897754896
402.72727272727275,309.09878477032316,306.4621558670239
402.82828282828285,309.0966324555706,306.4623425910524
402.92929292929296,309.09448203078665,306.4625291497837
403.030303030303,309.09233349429974,306.4627155433667
403.1313131313131,309.0901868444401,306.4629017719505
403.2323232323232,309.08804207953926,306.4630878356838
403.3333333333333,309.0858991979306,306.46327373471513
403.4343434343434,309.0837581979487,306.46345946919297
403.5353535353535,309.0816190779301,306.46364503926577
403.6363636363636,309.0794818362125,306.46383044508167
403.73737373737373,309.0773464711355,306.4640156867886
403.83838383838383,309.07521298104,306.46420076453467
403.93939393939394,309.07308136426866,306.46438567846747
404.04040404040404,309.07095161916556,306.4645704287347
404.14141414141415,309.0688237440764,306.46475501548383
404.24242424242425,309.0666977373483,306.46493943886213
404.34343434343435,309.0645735973302,306.46512369901683
404.44444444444446,309.0624513223724,306.46530779609503
404.54545454545456,309.0603309108268,306.4654917302435
404.64646464646466,309.05821236104686,306.46567550160916
404.74747474747477,309.0560956713876,306.46585911033844
404.8484848484849,309.0539808402056,306.46604255657803
404.949494949495,309.05186786585904,306.46622584047407
405.050505050505,309.0497567467076,306.4664089621729
405.1515151515151,309.04764748111245,306.46659192182045
405.25252525252523,309.04554006743655,306.4667747195627
405.35353535353534,309.0434345040441,306.46695735554533
405.45454545454544,309.0413307893011,306.467139829914
405.55555555555554,309.0392289215751,306.4673221428142
405.65656565656565,309.0371288992351,306.46750429439123
405.75757575757575,309.03503072065155,306.4676862847903
405.85858585858585,309.03293438419684,306.4678681141565
405.95959595959596,309.0308398882445,306.46804978263464
406.06060606060606,309.02874723116986,306.4682312903695
406.16161616161617,309.02665641134973,306.46841263750576
406.26262626262627,309.0245674271626,306.4685938241878
406.3636363636364,309.02248027698823,306.46877485056007
406.4646464646465,309.0203949592082,306.46895571676663
406.5656565656566,309.0183114722056,306.4691364229515
406.6666666666667,309.0162298143651,306.46931696925884
406.7676767676768,309.0141499840727,306.4694973558321
406.8686868686869,309.01207197971615,306.4696775828151
406.969696969697,309.0099957996849,306.4698576503512
407.07070707070704,309.00792144236965,306.4700375585838
407.17171717171715,309.00584890616284,306.470217307656
407.27272727272725,309.0037781894584,306.47039689771094
407.37373737373736,309.00170929065183,306.4705763288915
407.47474747474746,308.9996422081403,306.4707556013404
407.57575757575756,308.99757694032235,306.47093471520026
407.67676767676767,308.99551348559817,306.4711136706136
407.77777777777777,308.9934518423695,306.4712924677227
407.8787878787879,308.9913920090397,306.4714711066698
407.979797979798,308.9893339840135,306.47164958759686
408.0808080808081,308.9872777656975,306.47182791064586
408.1818181818182,308.98522335249953,306.4720060759585
408.2828282828283,308.9831707428292,306.4721840836765
408.3838383838384,308.9811199350975,306.47236193394116
408.4848484848485,308.97907092771715,306.47253962689393
408.5858585858586,308.97702371910236,306.472717162676
408.6868686868687,308.97497830766883,306.4728945414284
408.7878787878788,308.9729346918339,306.473071763292
408.8888888888889,308.9708928700165,306.4732488284075
408.989898989899,308.96885284063694,306.47342573691566
409.09090909090907,308.9668146021173,306.4736024889569
409.19191919191917,308.96477815288114,306.4737790846715
409.2929292929293,308.9627434913535,306.4739555241997
409.3939393939394,308.9607106159611,306.4741318076815
409.4949494949495,308.958679525132,306.4743079352568
409.5959595959596,308.9566502172962,306.4744839070654
409.6969696969697,308.95462269088495,306.4746597232469
409.7979797979798,308.95259694433105,306.47483538394073
409.8989898989899,308.95057297606905,306.4750108892863
410.0,308.9485507845349,306.4751862394227
410.1010101010101,308.9465303681662,306.47536143448906
410.2020202020202,308.94451172540204,306.4755364746242
410.3030303030303,308.94249485468305,306.47571135996697
410.4040404040404,308.9404797544516,306.4758860906559
410.5050505050505,308.93846642315134,306.4760606668295
410.6060606060606,308.9364548592277,306.4762350886261
410.7070707070707,308.9344450611275,306.47640935618386
410.80808080808083,308.93243702729933,306.4765834696409
410.90909090909093,308.9304307561931,306.476757429135
411.010101010101,308.92842624626047,306.47693123480394
411.1111111111111,308.9264234959545,306.4771048867854
411.2121212121212,308.92442250372994,306.4772783852169
411.3131313131313,308.92242326804296,306.4774517302356
411.4141414141414,308.92042578735146,306.4776249219788
411.5151515151515,308.91843006011476,306.4777979605835
411.6161616161616,308.91643608479376,306.4779708461867
411.7171717171717,308.91444385985096,306.47814357892497
411.8181818181818,308.9124533837504,306.4783161589351
411.9191919191919,308.9104646549577,306.4784885863534
412.020202020202,308.90847767194,306.47866086131637
412.1212121212121,308.9064924331659,306.47883298396005
412.22222222222223,308.90450893710585,306.47900495442065
412.32323232323233,308.9025271822315,306.47917677283385
412.42424242424244,308.9005471670163,306.4793484393355
412.52525252525254,308.89856888993523,306.47951995406135
412.62626262626264,308.89659234946475,306.47969131714666
412.72727272727275,308.8946175440829,306.4798625287269
412.82828282828285,308.8926444722693,306.4800335889372
412.92929292929296,308.8906731325051,306.4802044979126
413.030303030303,308.888703523273,306.480375255788
413.1313131313131,308.8867356430574,306.48054586269814
413.2323232323232,308.88476949034396,306.48071631877764
413.3333333333333,308.88280506362025,306.480886624161
413.4343434343434,308.88084236137513,306.4810567789826
413.5353535353535,308.8788813820991,306.4812267833764
413.6363636363636,308.87692212428425,306.48139663747673
413.73737373737373,308.8749645864242,306.4815663414173
413.83838383838383,308.8730087670142,306.4817358953319
413.93939393939394,308.8710546645508,306.4819052993542
414.04040404040404,308.86910227753253,306.4820745536176
414.14141414141415,308.86715160445914,306.4822436582555
414.24242424242425,308.865202643832,306.4824126134011
414.34343434343435,308.8632553941541,306.4825814191873
414.44444444444446,308.86130985393004,306.48275007574705
414.54545454545456,308.8593660216658,306.4829185832132
414.64646464646466,308.8574238958691,306.4830869417183
414.74747474747477,308.8554834750491,306.4832551513948
414.8484848484849,308.8535447577165,306.48342321237504
414.949494949495,308.85160774238375,306.4835911247912
415.050505050505,308.8496724275646,306.48375888877536
415.1515151515151,308.8477388117746,306.48392650445936
415.25252525252523,308.8458068935306,306.484093971975
415.35353535353534,308.8438766713512,306.4842612914539
415.45454545454544,308.8419481437565,306.4844284630275
415.55555555555554,308.84002130926814,306.48459548682706
415.65656565656565,308.83809616640934,306.4847623629839
415.75757575757575,308.8361727137049,306.484929091629
415.85858585858585,308.83425094968123,306.48509567289324
415.95959595959596,308.83233087286595,306.4852621069073
416.06060606060606,308.83041248178876,306.485428393802
416.16161616161617,308.8284957749805,306.4855945337076
416.26262626262627,308.8265807509739,306.4857605267546
416.3636363636364,308.82466740830296,306.485926373073
416.4646464646465,308.82275574550334,306.48609207279304
416.5656565656566,308.82084576111225,306.48625762604445
416.6666666666667,308.8189374536685,306.4864230329571
416.7676767676768,308.8170308217126,306.4865882936605
416.8686868686869,308.8151258637862,306.48675340828413
416.969696969697,308.8132225784329,306.48691837695736
417.07070707070704,308.8113209641977,306.48708319980943
417.17171717171715,308.8094210196271,306.4872478769693
417.27272727272725,308.8075227432694,306.4874124085659
417.37373737373736,308.805626133674,306.4875767947279
417.47474747474746,308.80373118939247,306.487741035584
417.57575757575756,308.80183790897746,306.48790513126266
417.67676767676767,308.7999462909833,306.4880690818922
417.77777777777777,308.7980563339659,306.48823288760076
417.8787878787879,308.7961680364829,306.4883965485165
417.979797979798,308.79428139709313,306.4885600647671
418.0808080808081,308.7923964143573,306.48872343648054
418.1818181818182,308.7905130868375,306.4888866637843
418.2828282828283,308.7886314130975,306.4890497468059
418.3838383838384,308.78675139170247,306.4892126856726
418.4848484848485,308.7848730212193,306.4893754805116
418.5858585858586,308.7829963002164,306.4895381314501
418.6868686868687,308.78112122726355,306.48970063861475
418.7878787878788,308.77924780093235,306.4898630021325
418.8888888888889,308.7773760197959,306.4900252221298
418.989898989899,308.77550588242866,306.49018729873325
419.09090909090907,308.77363738740695,306.4903492320691
419.19191919191917,308.77177053330837,306.49051102226355
419.2929292929293,308.7699053187123,306.49067266944263
419.3939393939394,308.7680417421995,306.49083417373225
419.4949494949495,308.7661798023524,306.4909955352582
419.5959595959596,308.76431949775485,306.491156754146
419.6969696969697,308.76246082699254,306.49131783052115
419.7979797979798,308.76060378865236,306.49147876450905
419.8989898989899,308.7587483813231,306.4916395562348
420.0,308.75689460359473,306.4918002058235
420.1010101010101,308.75504245405915,306.4919607134
420.2020202020202,308.75319193130963,306.492121079089
420.3030303030303,308.751343033941,306.49228130301515
420.4040404040404,308.7494957605496,306.492441385303
420.5050505050505,308.74765010973346,306.4926013260768
420.6060606060606,308.7458060800922,306.49276112546073
