Roughness;Roughness;
x;y;
[m];[m];
1.3883225e-06;8.5170099e-11;
1.4078764e-06;2.0808593e-10;
1.4274302e-06;2.7468299e-10;
1.4469841e-06;2.1732561e-10;
1.4665379e-06;9.5443141e-11;
1.4860917e-06;-3.2234727e-11;
1.5056456e-06;-1.2050994e-10;
1.5251994e-06;-9.6353919e-11;
1.5447533e-06;-4.7324012e-11;
1.5643071e-06;-4.6775355e-11;
1.5838609e-06;-1.4462744e-10;
1.6034148e-06;-1.7303606e-10;
1.6229686e-06;-2.5544924e-10;
1.6425224e-06;-4.2722765e-10;
1.6620763e-06;-5.7634586e-10;
1.6816301e-06;-6.7361891e-10;
1.701184e-06;-6.7935878e-10;
1.7207378e-06;-6.5717717e-10;
1.7402916e-06;-6.4984326e-10;
1.7598455e-06;-6.7971097e-10;
1.7793993e-06;-6.6241103e-10;
1.7989532e-06;-6.1883615e-10;
1.818507e-06;-3.9653748e-10;
1.8380608e-06;-4.1846686e-10;
1.8576147e-06;-5.1969568e-10;
1.8771685e-06;-5.4279358e-10;
1.8967224e-06;-4.1465379e-10;
1.9162762e-06;-2.4405614e-10;
1.93583e-06;-1.6847838e-10;
1.9553839e-06;-1.6823693e-10;
1.9749377e-06;-2.5934697e-10;
1.9944915e-06;-3.4826645e-10;
2.0140454e-06;-6.1901084e-11;
2.0335992e-06;1.2661721e-10;
2.0531531e-06;2.4158428e-10;
2.0727069e-06;3.4251844e-10;
2.0922607e-06;4.8854399e-10;
2.1118146e-06;6.3959411e-10;
2.1313684e-06;6.3153919e-10;
2.1509223e-06;5.7782443e-10;
2.1704761e-06;4.7606549e-10;
2.1900299e-06;4.7944077e-10;
2.2095838e-06;6.239926e-10;
2.2291376e-06;7.4382756e-10;
2.2486914e-06;5.3078693e-10;
2.2682453e-06;3.807667e-10;
2.2877991e-06;3.5309412e-10;
2.307353e-06;4.1415039e-10;
2.3269068e-06;5.0923832e-10;
2.3464606e-06;5.1184126e-10;
2.3660145e-06;4.8386086e-10;
2.3855683e-06;5.136163e-10;
2.4051222e-06;4.7988881e-10;
2.424676e-06;2.0436299e-10;
2.4442298e-06;1.635748e-10;
2.4637837e-06;1.7453601e-10;
2.4833375e-06;3.0561217e-10;
2.5028914e-06;2.5603177e-11;
2.5224452e-06;-2.9259504e-11;
2.541999e-06;9.9966709e-12;
2.5615529e-06;2.4483984e-11;
2.5811067e-06;-9.984609e-11;
2.6006605e-06;-1.5302529e-10;
2.6202144e-06;-2.0924474e-10;
2.6397682e-06;-2.9935854e-10;
2.6593221e-06;-3.4494629e-10;
2.6788759e-06;-3.4101241e-10;
2.6984297e-06;-2.3561131e-10;
2.7179836e-06;-3.3938859e-11;
2.7375374e-06;4.4201407e-11;
2.7570913e-06;-1.1295637e-10;
2.7766451e-06;-2.7378813e-10;
2.7961989e-06;-2.0660998e-10;
2.8157528e-06;-2.692022e-10;
2.8353066e-06;-3.1730943e-10;
2.8548604e-06;-4.3213339e-10;
2.8744143e-06;-4.6434125e-10;
2.8939681e-06;-5.8292797e-10;
2.913522e-06;-5.6250059e-10;
2.9330758e-06;-1.4563089e-10;
2.9526296e-06;4.0209325e-11;
2.9721835e-06;8.4556903e-11;
2.9917373e-06;8.8095212e-11;
3.0112912e-06;2.3875645e-10;
3.030845e-06;3.4271392e-10;
3.0503988e-06;1.2499207e-10;
3.0699527e-06;1.7092916e-11;
3.0895065e-06;7.9963955e-11;
3.1090603e-06;1.8713177e-10;
3.1286142e-06;1.5881249e-10;
3.148168e-06;1.9813772e-10;
3.1677219e-06;2.2695891e-10;
3.1872757e-06;4.9877587e-11;
3.2068295e-06;-4.6623278e-11;
