Roughness;Roughness;
x;y;
[m];[m];
2.7752921e-06;-4.2702079e-10;
2.8143807e-06;-4.3369339e-10;
2.8534694e-06;-3.6381849e-10;
2.892558e-06;-3.3519011e-10;
2.9316466e-06;-2.9866369e-10;
2.9707352e-06;-2.1375899e-10;
3.0098239e-06;-3.2283508e-10;
3.0489125e-06;-9.437485e-11;
3.0880011e-06;8.446368e-11;
3.1270897e-06;2.7019274e-10;
3.1661783e-06;2.9727665e-10;
3.205267e-06;5.495205e-10;
3.2443556e-06;3.8060083e-10;
3.2834442e-06;5.1054517e-10;
3.3225328e-06;6.1996677e-10;
3.3616214e-06;8.3620058e-10;
3.4007101e-06;8.7658391e-10;
3.4397987e-06;8.4420931e-10;
3.4788873e-06;6.4813845e-10;
3.5179759e-06;7.9485077e-10;
3.5570646e-06;8.1513753e-10;
3.5961532e-06;8.1269345e-10;
3.6352418e-06;6.316156e-10;
3.6743304e-06;6.0764604e-10;
3.713419e-06;6.1503685e-10;
3.7525077e-06;5.2099567e-10;
3.7915963e-06;3.8539951e-10;
3.8306849e-06;2.5445687e-10;
3.8697735e-06;1.2723885e-10;
3.9088621e-06;1.3759356e-10;
3.9479508e-06;-2.406968e-11;
3.9870394e-06;-1.9256902e-10;
4.026128e-06;-2.3440066e-10;
4.0652166e-06;-2.6563523e-10;
4.1043053e-06;-3.684097e-10;
4.1433939e-06;-4.9878625e-10;
4.1824825e-06;-5.7978417e-10;
4.2215711e-06;-6.6030428e-10;
4.2606597e-06;-6.8606613e-10;
4.2997484e-06;-6.4616369e-10;
4.338837e-06;-5.9306775e-10;
4.3779256e-06;-4.9849502e-10;
4.4170142e-06;-4.4794058e-10;
4.4561028e-06;-4.4032996e-10;
4.4951915e-06;-2.4241864e-10;
4.5342801e-06;-2.6596481e-10;
4.5733687e-06;-2.3998329e-10;
4.6124573e-06;-1.1169392e-10;
4.651546e-06;-9.3919683e-11;
4.6906346e-06;-3.8847583e-10;
4.7297232e-06;-4.0187152e-10;
4.7688118e-06;-3.5904777e-10;
4.8079004e-06;-3.2690884e-10;
4.8469891e-06;-4.7586829e-10;
4.8860777e-06;-2.8397931e-10;
4.9251663e-06;-2.1041142e-10;
4.9642549e-06;-1.6929952e-10;
5.0033435e-06;-6.8039801e-11;
5.0424322e-06;-1.2458113e-10;
5.0815208e-06;-2.1270743e-11;
5.1206094e-06;2.0910694e-11;
5.159698e-06;7.5192597e-12;
5.1987867e-06;1.6097461e-10;
5.2378753e-06;4.551034e-12;
5.2769639e-06;2.7955971e-11;
5.3160525e-06;2.6136505e-11;
5.3551411e-06;2.7228241e-11;
5.3942298e-06;-4.4663514e-11;
5.4333184e-06;-9.5838137e-11;
5.472407e-06;-3.4103236e-10;
5.5114956e-06;-3.1032541e-10;
5.5505842e-06;-2.2762957e-10;
5.5896729e-06;-1.8257727e-10;
5.6287615e-06;-2.2482028e-11;
5.6678501e-06;5.5778011e-11;
5.7069387e-06;1.0642555e-11;
5.7460274e-06;7.4599978e-11;
5.785116e-06;1.7413498e-10;
5.8242046e-06;3.2525037e-10;
5.8632932e-06;4.0814134e-10;
5.9023818e-06;4.7999497e-10;
5.9414705e-06;6.6376679e-10;
5.9805591e-06;7.1119723e-10;
6.0196477e-06;7.6386113e-10;
6.0587363e-06;8.1225024e-10;
6.0978249e-06;6.6702013e-10;
6.1369136e-06;6.3124519e-10;
6.1760022e-06;6.22455e-10;
6.2150908e-06;6.259181e-10;
6.2541794e-06;5.7983647e-10;
6.2932681e-06;4.6092206e-10;
6.3323567e-06;1.7696106e-10;
6.3714453e-06;2.5610345e-10;
6.4105339e-06;1.889341e-10;
6.4496225e-06;1.7166391e-10;
6.4887112e-06;1.7987869e-10;
6.5277998e-06;2.3711599e-10;
6.5668884e-06;2.0440519e-10;
6.605977e-06;1.6540996e-10;
6.6450657e-06;2.1151075e-10;
6.6841543e-06;3.7350598e-10;
6.7232429e-06;4.731521e-11;
6.7623315e-06;7.1213059e-11;
6.8014201e-06;1.6664392e-10;
6.8405088e-06;-1.3056646e-11;
6.8795974e-06;1.8214063e-11;
6.918686e-06;-2.6685292e-10;
6.9577746e-06;-3.1167831e-10;
6.9968632e-06;-3.9672809e-10;
7.0359519e-06;-3.9511577e-10;
7.0750405e-06;-6.4563501e-10;
7.1141291e-06;-7.4395711e-10;
7.1532177e-06;-8.2055767e-10;
7.1923064e-06;-8.9442122e-10;
7.231395e-06;-8.4173901e-10;
7.2704836e-06;-8.6033317e-10;
7.3095722e-06;-8.1929928e-10;
7.3486608e-06;-8.1538538e-10;
7.3877495e-06;-6.5062425e-10;
7.4268381e-06;-4.0168777e-10;
7.4659267e-06;-2.4784195e-10;
7.5050153e-06;-2.3981584e-10;
7.5441039e-06;-1.5650237e-10;
7.5831926e-06;2.6924284e-13;
7.6222812e-06;3.4467672e-11;
7.6613698e-06;1.1584049e-10;
7.7004584e-06;3.1446759e-10;
7.7395471e-06;4.1090771e-10;
7.7786357e-06;5.1604121e-10;
7.8177243e-06;6.0493124e-10;
7.8568129e-06;5.4246713e-10;
7.8959015e-06;4.1861393e-10;
7.9349902e-06;5.8816604e-10;
7.9740788e-06;6.6059234e-10;
8.0131674e-06;4.3887801e-10;
8.052256e-06;4.3432636e-10;
8.0913446e-06;1.5738387e-10;
8.1304333e-06;2.4414377e-10;
8.1695219e-06;2.123056e-10;
8.2086105e-06;1.8216875e-13;
8.2476991e-06;1.0998791e-11;
8.2867878e-06;-7.6827946e-11;
8.3258764e-06;-2.6214528e-10;
8.364965e-06;-1.9773899e-10;
8.4040536e-06;-5.334048e-10;
8.4431422e-06;-4.8182836e-10;
8.4822309e-06;-5.9824792e-10;
8.5213195e-06;-5.4221867e-10;
8.5604081e-06;-7.5526522e-10;
8.5994967e-06;-8.507838e-10;
8.6385853e-06;-7.0405285e-10;
8.677674e-06;-5.2408059e-10;
8.7167626e-06;-6.138791e-10;
8.7558512e-06;-5.1158101e-10;
8.7949398e-06;-4.8720858e-10;
8.8340285e-06;-2.4951019e-10;
8.8731171e-06;-1.9282785e-10;
8.9122057e-06;-9.0306831e-11;
8.9512943e-06;2.0096924e-10;
8.9903829e-06;4.3476683e-10;
9.0294716e-06;5.9072766e-10;
9.0685602e-06;8.1994646e-10;
9.1076488e-06;9.9643883e-10;
9.1467374e-06;1.1741824e-09;
9.185826e-06;1.1820849e-09;
9.2249147e-06;1.0948101e-09;
9.2640033e-06;1.0786485e-09;
9.3030919e-06;1.0097467e-09;
9.3421805e-06;9.258318e-10;
9.3812692e-06;7.7454077e-10;
9.4203578e-06;5.0863829e-10;
9.4594464e-06;3.6410212e-10;
9.498535e-06;3.1372464e-10;
9.5376236e-06;1.407609e-10;
9.5767123e-06;-6.4557021e-12;
9.6158009e-06;-1.3899064e-10;
9.6548895e-06;-3.345741e-10;
9.6939781e-06;-3.404731e-10;
9.7330667e-06;-3.0990369e-10;
9.7721554e-06;-2.7886322e-10;
9.811244e-06;-3.9314002e-10;
9.8503326e-06;-4.9442623e-10;
9.8894212e-06;-3.7632267e-10;
9.9285099e-06;-5.1334671e-10;
9.9675985e-06;-6.7467202e-10;
1.0006687e-05;-5.4425583e-10;
1.0045776e-05;-6.6480231e-10;
1.0084864e-05;-7.5452485e-10;
1.0123953e-05;-6.5926594e-10;
1.0163042e-05;-6.3220358e-10;
1.020213e-05;-6.3423982e-10;
1.0241219e-05;-5.5480839e-10;
1.0280307e-05;-6.1066915e-10;
1.0319396e-05;-4.7008322e-10;
1.0358485e-05;-5.7474988e-10;
1.0397573e-05;-4.9255418e-10;
1.0436662e-05;-5.0598213e-10;
1.0475751e-05;-2.4133891e-10;
1.0514839e-05;-1.7550155e-10;
1.0553928e-05;-1.1366063e-10;
1.0593016e-05;-3.3928944e-11;
1.0632105e-05;8.0492515e-11;
1.0671194e-05;3.2640073e-10;
1.0710282e-05;4.4824332e-10;
1.0749371e-05;6.12561e-10;
1.078846e-05;7.8849967e-10;
1.0827548e-05;9.239468e-10;
1.0866637e-05;9.752867e-10;
1.0905725e-05;9.1003189e-10;
1.0944814e-05;9.0218203e-10;
1.0983903e-05;9.3071327e-10;
1.1022991e-05;8.476096e-10;
1.106208e-05;8.5575683e-10;
