2theta,intensity,temperature,number,best_fit
0.985,0.029340446168768183,25.0,16,0.030110298219780247
0.995,0.027885548011639182,25.0,16,0.029286536436957836
1.0050000000000001,0.027077271257678625,25.0,16,0.02858425526129127
1.0150000000000001,0.024894924021985124,25.0,16,0.027913912745410635
1.0250000000000001,0.024733268671193014,25.0,16,0.027202374496677277
1.0350000000000001,0.026592305205302293,25.0,16,0.026397926177644623
1.045,0.02449078564500485,25.0,16,0.0254723970911749
1.055,0.02570320077594568,25.0,16,0.024420629005603676
1.065,0.022793404461687677,25.0,16,0.023257736368528868
1.075,0.02424830261881668,25.0,16,0.022014735223261684
1.085,0.024409957969608792,25.0,16,0.02073317792063257
1.095,0.023682508891044292,25.0,16,0.01945942975670536
1.105,0.021823472356935013,25.0,16,0.018239172023961206
1.115,0.018347882314904623,25.0,16,0.017112623293530208
1.125,0.018428709990300676,25.0,16,0.01611084733742347
1.135,0.017620433236340122,25.0,16,0.015253373731301156
1.145,0.01559974135143873,25.0,16,0.014547209136159724
1.155,0.015923052053022954,25.0,16,0.013987177367472877
1.165,0.011639185257032007,25.0,16,0.013557407341078749
1.175,0.01285160038797284,25.0,16,0.013233699675300085
1.185,0.01010345942450695,25.0,16,0.012986450759383808
1.195,0.009456838021338504,25.0,16,0.012783798381103245
1.205,0.01212415130940834,25.0,16,0.01259467211961904
1.215,0.010669253152279339,25.0,16,0.012391477988662697
1.225,0.011558357581635951,25.0,16,0.01215221179206256
1.235,0.010588425476883283,25.0,16,0.011861870473472126
1.245,0.011073391529259617,25.0,16,0.011513107274431776
1.2550000000000001,0.010265114775299062,25.0,16,0.011106148035054959
1.2650000000000001,0.010830908503071451,25.0,16,0.010648047429265891
1.2750000000000001,0.010750080827675396,25.0,16,0.010151411914417374
1.2850000000000001,0.010588425476883283,25.0,16,0.009632748745295076
1.2950000000000002,0.009214354995150338,25.0,16,0.009110616853599653
1.3050000000000002,0.011073391529259617,25.0,16,0.00860375610135451
1.3150000000000002,0.010507597801487228,25.0,16,0.008129357717890808
1.3250000000000002,0.00808276753960556,25.0,16,0.007701612834349148
1.3350000000000002,0.008486905916585838,25.0,16,0.007330640900948949
1.3450000000000002,0.008648561267377949,25.0,16,0.007021858943464
1.3550000000000002,0.006951180084060781,25.0,16,0.006775809917289929
1.365,0.006951180084060781,25.0,16,0.006588427641012434
1.375,0.005819592628516003,25.0,16,0.006451680327684516
1.385,0.0054154542515357255,25.0,16,0.0063545072512613395
1.395,0.0049304881991593915,25.0,16,0.006283945308557545
