filename,freq,power.real,power.imag,dR/R.real,dR/R.imag,residual.real,residual.imag,best_fit.real,best_fit.imag
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.3878080165357853,3.474545806402133e-15,-1.8429012874941137e-15,0.002269727067521995,-0.02459772131851122,0.0036254799781888446,0.0032971785213139395,0.005895207045710846,-0.02130054279719728
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.4046692346460368,2.0549283480526826e-15,-1.146407260190663e-15,0.00017053790243059776,-0.024095379459941165,0.0016625064165604474,0.002598891105890475,0.0018330443189910513,-0.021496488354050696
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.42153045275628837,-5.838906372777248e-15,3.4217224742951822e-15,-0.0029031199241500356,-0.01944540807283957,0.0008884630543062042,-0.0007487672139227805,-0.002014656869843828,-0.02019417528676235
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.4383916708665399,4.094977940871805e-15,-2.517873249487548e-15,-0.011312838456376298,-0.01705717919970543,0.006189887287401698,-0.000579627880361253,-0.005122951168974599,-0.017636807080066683
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.45525288897679145,-1.6810265767454047e-15,1.083385070100195e-15,-0.010500463525565096,-0.01423805713203753,0.003388373282388222,0.00001042781297907062,-0.0071120902431768725,-0.014227629319058466
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.47211410708704293,-2.1580344073789258e-16,1.45647575299457e-16,-0.013641071424909616,-0.012061405480237888,0.005852678651499417,0.001599887604790223,-0.007788392773410198,-0.010461517875447668
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.4889753251972945,-3.6499255737477714e-15,2.5776593370430427e-15,-0.006873815874257486,-0.0019606973466318855,-0.00028300767753638555,-0.004888573242443548,-0.007156823551793875,-0.006849270589075436
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.505836543307546,5.068639702211524e-16,-3.7431325309020608e-16,-0.0010753910603605312,-0.0016285297266744826,-0.004330156546791582,-0.0022167498993359725,-0.005405547607152114,-0.003845279626010451
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.5226977614177976,5.390059175964376e-16,-4.1599474839573545e-16,0.0022660183525977304,-0.0015851997594800646,-0.005132476483699582,-0.00020293354817753345,-0.002866458131101852,-0.0017881333076575957
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.5395589795280491,4.0239056319917394e-16,-3.2440009358760957e-16,0.003307601367950018,0.002609388120734332,-0.0032662619269697873,-0.003470743661120031,0.00004133944098024179,-0.0008613555403857055
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.5564201976383006,1.1899843347230346e-15,-1.001704544677806e-15,0.005752648522797693,0.0017525230355826108,-0.002876416260581803,-0.0028308381983492086,0.002876232262215883,-0.00107831516276659
