temperature,number,2theta,lattice_spacing,intensity,norm_intensity,log_intensity,best_fit
400.0,8,45.4964,0.3984152459240128,53.666666666666664,0.000024296473813141685,1.8889707863557446,1.895818717792871
400.0,8,45.501400000000004,0.3983737904855228,52.833333333333336,0.000023919199375049425,1.8821741768776663,1.8992474974346585
400.0,8,45.5064,0.3983323444313708,49.166666666666664,0.000022259191847443468,1.8509369306380767,1.9020575466661744
400.0,8,45.5114,0.39829090775847026,48.833333333333336,0.000022108282072206564,1.8479825350140242,1.904243450960066
400.0,8,45.516400000000004,0.3982494804637361,51.166666666666664,0.000023164650498864898,1.8682532901371003,1.90580376956149
400.0,8,45.5214,0.3982080625440847,53.5,0.00002422101892552323,1.8876199470647856,1.906741228411751
400.0,8,45.5264,0.39816665399643353,51.666666666666664,0.000023391015161720255,1.8724766084941864,1.907062791421307
400.0,8,45.531400000000005,0.39812525481770145,48.666666666666664,0.00002203282718458811,1.8464977661083317,1.9067796056521737
400.0,8,45.5364,0.39808386500480897,54.833333333333336,0.000024824658026470852,1.8983108126098882,1.9059068241427866
400.0,8,45.5414,0.39804248455467756,50.0,0.00002263646628553573,1.858236169379576,1.9044633179187922
400.0,8,45.5464,0.39800111346423045,50.333333333333336,0.000022787376060772638,1.8611218576170652,1.9024712953886334
400.0,8,45.5514,0.3979597517303918,51.166666666666664,0.000023164650498864898,1.8682532901371003,1.8999558521976303
400.0,8,45.556400000000004,0.3979183993500874,55.666666666666664,0.000025201932464563112,1.9048613814714788,1.8969444773342037
400.0,8,45.5614,0.39787705632024434,49.333333333333336,0.000022334646735061924,1.852406625718853,1.893466541757462
400.0,8,45.5664,0.397835722637791,50.5,0.000022862830948391088,1.862557543162219,1.889552794228195
400.0,8,45.571400000000004,0.3977943982996571,51.833333333333336,0.000023466470049338708,1.8738753036867513,1.8852348857690293
400.0,8,45.5764,0.3977530833027739,43.5,0.000019693725668416087,1.797755421998195,1.8805449397774314
400.0,8,45.5814,0.39771177764407367,47.333333333333336,0.000021429188083640494,1.8344332547069522,1.875515179831618
400.0,8,45.586400000000005,0.3976704813204904,46.166666666666664,0.000020901003870311324,1.8235946837243624,1.8701776221890862
400.0,8,45.5914,0.3976291943289591,47.333333333333336,0.000021429188083640494,1.8344332547069522,1.8645638353098588
400.0,8,45.5964,0.3975879166664163,50.166666666666664,0.000022711921173154184,1.8596814102537582,1.8587047647456225
400.0,8,45.6014,0.39754664832979986,44.333333333333336,0.00002007100010650835,1.8059965512909812,1.8526306185924133
400.0,8,45.6064,0.397505389316049,43.166666666666664,0.00001954281589317918,1.7944146787411652,1.846370806460477
