step_center,step_sigma,slow_amplitude,slow_decay,fast_amplitude,fast_decay,filename,label,temperature
-2.74308385311607e-14,4.1100456371623294e-14,-0.0006167312035891825,2.380847309830081,-0.0001565926645969995,0.05521404099325644,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake15_30AVG_1Windows_12Harm_001,flake15,60
-4.4251186550927596e-14,1.9752532942618472e-14,-0.000029702942102360907,2.3458550892199876,-0.00006675560641866696,0.14171943240081686,Mattias_FM308-SRO_60degSTAMP_750deg1hr_translucentflakeaftersonication1_50AVG_1Windows_12Harm_001,translucentflakeaftersonication1,750
-2.5887403147677208e-14,3.466560372089589e-14,-0.0007599989538888963,12.604279279220552,-0.00004942103123184438,0.08430938107122521,Mattias_FM308-SRO_60degSTAMP_350deg1hr_doubleflake3_30AVG_1Windows_12Harm_001,doubleflake3,350
-2.6150583950699036e-14,3.8613556796462946e-14,-0.000555273646497767,2.0449278829563076,-0.00008276746002522373,0.12364009746118887,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake19_30AVG_1Windows_12Harm_001,flake19,550
-4.903292283532819e-13,1.005429073330788e-13,-0.00009369635473532867,0.30244629394783784,-0.00004511419825448115,0.06475041681077842,Mattias_FM308-SRO_60degSTAMP_750deg1hr_translucentflakeaftersonication2_50AVG_1Windows_12Harm_001,translucentflakeaftersonication2,750
-1.513383259183937e-14,2.6593172108846375e-14,-0.0007415585724768192,4.406788072702534,-0.0001612003394484418,0.012459501821434182,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake1_30AVG_1Windows_12Harm_001,flake1,350
-5.5869203608812293e-14,5.863254326499146e-14,-0.00047438751702166826,2.0612615417670717,-0.00014506896149946158,0.09750528222464583,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake4_30AVG_1Windows_12Harm_001,flake4,550
-1.8432210637293888e-14,3.135103288087748e-14,-0.0006566816756077287,1.980648059485552,-0.00009750332494462555,0.015199614910312409,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake17_30AVG_1Windows_12Harm_001,flake17,350
-1.617135722043886e-14,2.9015123637066157e-14,-0.0006789266117497306,1.7343025063232045,-0.00012984939968063713,0.010000000125925057,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake7_30AVG_1Windows_12Harm_001,flake7,350
-2.1836285411138847e-14,2.9857227801244336e-14,-0.0005432295725320557,1.7590503355496028,-0.00008070399663395733,0.09266076885585539,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake17_30AVG_1Windows_12Harm_001,flake17,550
-2.80420535850633e-14,4.345079851475475e-14,-0.00054727126794063,1.772515680912669,-0.0000849422475077688,0.12144756994340944,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake12_30AVG_1Windows_12Harm_001,flake12,550
-2.9076603478619784e-14,4.335309888858774e-14,-0.0005166569486654282,2.670284711482394,-0.00016750894424077956,0.15147857328311498,Mattias_FM308-SRO_60degSTAMP_750deg1hr_flake1_30AVG_1Windows_12Harm_001,flake1,750
-2.582083416164492e-14,4.007905118896815e-14,-0.0006372538280920992,3.041396378749134,-0.00013688295836367104,0.038490067995088584,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake17_30AVG_1Windows_12Harm_001,flake17,150
-2.7094144598914508e-14,3.883449117836335e-14,-0.0006369815076734398,1.6599757513650464,-0.0001197459926327582,0.05729515812789754,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake10_30AVG_1Windows_12Harm_001,flake10,60
-3.106533686903277e-14,4.4206860394524484e-14,-0.0006647327857791652,2.90476116871943,-0.00013060383284724253,0.12525578333183596,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake18_30AVG_1Windows_12Harm_001,flake18,60
-2.6496596687968014e-14,3.6580738438374284e-14,-0.0006386915830951523,3.0251702665618336,-0.00012519115220754884,0.07398206570770105,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake12_30AVG_1Windows_12Harm_001,flake12,60
-2.4431957411096872e-14,4.086619931342739e-14,-0.0006653547078272481,2.765886624838264,-0.0001291935420191237,0.026728061350409282,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake7_30AVG_1Windows_12Harm_001,flake7,150
