2theta,intensity,temperature,ID
18.16,2.4504987565363707e-7,60,FM308_membrane
18.18,6.126246891340927e-7,60,FM308_membrane
18.2,5.513622202206834e-7,60,FM308_membrane
18.22,4.900997513072741e-7,60,FM308_membrane
18.24,1.2252493782681854e-7,60,FM308_membrane
18.26,1.837874067402278e-7,60,FM308_membrane
18.28,1.837874067402278e-7,60,FM308_membrane
18.3,3.0631234456704634e-7,60,FM308_membrane
18.32,3.675748134804556e-7,60,FM308_membrane
18.34,6.126246891340927e-8,60,FM308_membrane
18.36,1.837874067402278e-7,60,FM308_membrane
18.38,2.4504987565363707e-7,60,FM308_membrane
18.4,3.675748134804556e-7,60,FM308_membrane
18.42,1.2252493782681854e-7,60,FM308_membrane
18.44,2.4504987565363707e-7,60,FM308_membrane
18.46,3.675748134804556e-7,60,FM308_membrane
18.48,2.4504987565363707e-7,60,FM308_membrane
18.5,3.0631234456704634e-7,60,FM308_membrane
18.52,2.4504987565363707e-7,60,FM308_membrane
18.54,3.0631234456704634e-7,60,FM308_membrane
18.56,1.837874067402278e-7,60,FM308_membrane
18.58,5.513622202206834e-7,60,FM308_membrane
18.6,1.2252493782681854e-7,60,FM308_membrane
18.62,3.675748134804556e-7,60,FM308_membrane
18.64,2.4504987565363707e-7,60,FM308_membrane
18.66,2.4504987565363707e-7,60,FM308_membrane
18.68,5.513622202206834e-7,60,FM308_membrane
18.7,2.4504987565363707e-7,60,FM308_membrane
18.72,3.675748134804556e-7,60,FM308_membrane
18.74,3.675748134804556e-7,60,FM308_membrane
18.76,4.288372823938649e-7,60,FM308_membrane
18.78,3.675748134804556e-7,60,FM308_membrane
18.8,3.0631234456704634e-7,60,FM308_membrane
18.82,3.0631234456704634e-7,60,FM308_membrane
18.84,3.0631234456704634e-7,60,FM308_membrane
18.86,1.837874067402278e-7,60,FM308_membrane
18.88,4.288372823938649e-7,60,FM308_membrane
18.9,3.675748134804556e-7,60,FM308_membrane
18.92,4.288372823938649e-7,60,FM308_membrane
18.94,4.288372823938649e-7,60,FM308_membrane
18.96,5.513622202206834e-7,60,FM308_membrane
18.98,4.288372823938649e-7,60,FM308_membrane
19.0,2.4504987565363707e-7,60,FM308_membrane
19.02,3.675748134804556e-7,60,FM308_membrane
19.04,3.0631234456704634e-7,60,FM308_membrane
19.06,6.126246891340927e-8,60,FM308_membrane
19.08,1.837874067402278e-7,60,FM308_membrane
19.1,3.0631234456704634e-7,60,FM308_membrane
19.12,3.0631234456704634e-7,60,FM308_membrane
19.14,3.675748134804556e-7,60,FM308_membrane
19.16,3.675748134804556e-7,60,FM308_membrane
19.18,3.675748134804556e-7,60,FM308_membrane
19.2,4.900997513072741e-7,60,FM308_membrane
19.22,4.900997513072741e-7,60,FM308_membrane
19.24,1.2252493782681854e-7,60,FM308_membrane
19.26,3.675748134804556e-7,60,FM308_membrane
19.28,3.675748134804556e-7,60,FM308_membrane
19.3,3.675748134804556e-7,60,FM308_membrane
19.32,1.2252493782681854e-7,60,FM308_membrane
19.34,2.4504987565363707e-7,60,FM308_membrane
19.36,5.513622202206834e-7,60,FM308_membrane
19.38,4.900997513072741e-7,60,FM308_membrane
19.4,3.675748134804556e-7,60,FM308_membrane
19.42,4.288372823938649e-7,60,FM308_membrane
19.44,2.4504987565363707e-7,60,FM308_membrane
19.46,7.964120958743205e-7,60,FM308_membrane
19.48,4.900997513072741e-7,60,FM308_membrane
19.5,6.738871580475019e-7,60,FM308_membrane
19.52,4.900997513072741e-7,60,FM308_membrane
19.54,4.288372823938649e-7,60,FM308_membrane
19.56,3.0631234456704634e-7,60,FM308_membrane
19.58,6.126246891340927e-7,60,FM308_membrane
19.6,4.288372823938649e-7,60,FM308_membrane
19.62,3.675748134804556e-7,60,FM308_membrane
19.64,4.288372823938649e-7,60,FM308_membrane
19.66,4.900997513072741e-7,60,FM308_membrane
19.68,6.126246891340927e-7,60,FM308_membrane
19.7,2.4504987565363707e-7,60,FM308_membrane
19.72,1.837874067402278e-7,60,FM308_membrane
19.74,4.288372823938649e-7,60,FM308_membrane
19.76,1.2252493782681854e-7,60,FM308_membrane
19.78,3.675748134804556e-7,60,FM308_membrane
19.8,9.18937033701139e-7,60,FM308_membrane
19.82,4.900997513072741e-7,60,FM308_membrane
19.84,3.675748134804556e-7,60,FM308_membrane
19.86,2.4504987565363707e-7,60,FM308_membrane
19.88,5.513622202206834e-7,60,FM308_membrane
19.9,9.18937033701139e-7,60,FM308_membrane
19.92,4.900997513072741e-7,60,FM308_membrane
19.94,4.900997513072741e-7,60,FM308_membrane
19.96,3.0631234456704634e-7,60,FM308_membrane
19.98,2.4504987565363707e-7,60,FM308_membrane
20.0,3.675748134804556e-7,60,FM308_membrane
20.02,6.738871580475019e-7,60,FM308_membrane
20.04,6.126246891340927e-7,60,FM308_membrane
20.06,4.900997513072741e-7,60,FM308_membrane
20.08,2.4504987565363707e-7,60,FM308_membrane
20.1,3.675748134804556e-7,60,FM308_membrane
20.12,6.126246891340927e-7,60,FM308_membrane
20.14,6.126246891340927e-7,60,FM308_membrane
20.16,7.351496269609112e-7,60,FM308_membrane
20.18,4.288372823938649e-7,60,FM308_membrane
20.2,1.837874067402278e-7,60,FM308_membrane
20.22,3.0631234456704634e-7,60,FM308_membrane
20.24,5.513622202206834e-7,60,FM308_membrane
20.26,6.126246891340927e-7,60,FM308_membrane
20.28,3.0631234456704634e-7,60,FM308_membrane
20.3,5.513622202206834e-7,60,FM308_membrane
20.32,4.900997513072741e-7,60,FM308_membrane
20.34,5.513622202206834e-7,60,FM308_membrane
20.36,4.900997513072741e-7,60,FM308_membrane
20.38,6.738871580475019e-7,60,FM308_membrane
20.4,3.675748134804556e-7,60,FM308_membrane
20.42,3.0631234456704634e-7,60,FM308_membrane
20.44,8.576745647877298e-7,60,FM308_membrane
20.46,7.351496269609112e-7,60,FM308_membrane
20.48,6.738871580475019e-7,60,FM308_membrane
20.5,6.126246891340927e-7,60,FM308_membrane
20.52,6.738871580475019e-7,60,FM308_membrane
20.54,7.351496269609112e-7,60,FM308_membrane
20.56,3.675748134804556e-7,60,FM308_membrane
20.58,6.738871580475019e-7,60,FM308_membrane
20.6,7.351496269609112e-7,60,FM308_membrane
20.62,1.2865118471815945e-6,60,FM308_membrane
20.64,7.351496269609112e-7,60,FM308_membrane
20.66,6.126246891340927e-7,60,FM308_membrane
20.68,8.576745647877298e-7,60,FM308_membrane
20.7,7.351496269609112e-7,60,FM308_membrane
20.72,5.513622202206834e-7,60,FM308_membrane
20.74,3.675748134804556e-7,60,FM308_membrane
20.76,4.288372823938649e-7,60,FM308_membrane
20.78,6.738871580475019e-7,60,FM308_membrane
20.8,6.738871580475019e-7,60,FM308_membrane
20.82,6.738871580475019e-7,60,FM308_membrane
20.84,6.738871580475019e-7,60,FM308_membrane
20.86,1.1027244404413668e-6,60,FM308_membrane
20.88,5.513622202206834e-7,60,FM308_membrane
20.9,6.738871580475019e-7,60,FM308_membrane
20.92,3.675748134804556e-7,60,FM308_membrane
20.94,7.964120958743205e-7,60,FM308_membrane
20.96,6.126246891340927e-7,60,FM308_membrane
20.98,8.576745647877298e-7,60,FM308_membrane
21.0,6.126246891340927e-7,60,FM308_membrane
