2theta,intensity,T
13.3,1.837874067402278e-7,60.0
13.32,1.2252493782681854e-7,60.0
13.34,6.126246891340927e-8,60.0
13.36,3.675748134804556e-7,60.0
13.38,6.126246891340927e-8,60.0
13.4,1.837874067402278e-7,60.0
13.42,1.2252493782681854e-7,60.0
13.44,4.900997513072741e-7,60.0
13.46,2.4504987565363707e-7,60.0
13.48,4.900997513072741e-7,60.0
13.5,3.675748134804556e-7,60.0
13.52,1.837874067402278e-7,60.0
13.54,2.4504987565363707e-7,60.0
13.56,4.288372823938649e-7,60.0
13.58,4.900997513072741e-7,60.0
13.6,4.900997513072741e-7,60.0
13.62,6.126246891340927e-7,60.0
13.64,4.288372823938649e-7,60.0
13.66,3.675748134804556e-7,60.0
13.68,3.0631234456704634e-7,60.0
13.7,3.675748134804556e-7,60.0
13.72,1.2252493782681854e-7,60.0
13.74,3.0631234456704634e-7,60.0
13.76,4.288372823938649e-7,60.0
13.78,4.900997513072741e-7,60.0
13.8,4.288372823938649e-7,60.0
13.82,3.0631234456704634e-7,60.0
13.84,4.900997513072741e-7,60.0
13.86,3.0631234456704634e-7,60.0
13.88,4.288372823938649e-7,60.0
13.9,4.900997513072741e-7,60.0
13.92,4.288372823938649e-7,60.0
13.94,2.4504987565363707e-7,60.0
13.96,2.4504987565363707e-7,60.0
13.98,1.837874067402278e-7,60.0
14.0,3.0631234456704634e-7,60.0
14.02,2.4504987565363707e-7,60.0
14.04,6.126246891340927e-7,60.0
14.06,4.900997513072741e-7,60.0
14.08,5.513622202206834e-7,60.0
14.1,6.126246891340927e-8,60.0
14.12,2.4504987565363707e-7,60.0
14.14,1.837874067402278e-7,60.0
14.16,3.675748134804556e-7,60.0
14.18,3.0631234456704634e-7,60.0
14.2,6.126246891340927e-7,60.0
14.22,3.675748134804556e-7,60.0
14.24,3.675748134804556e-7,60.0
14.26,4.288372823938649e-7,60.0
14.28,4.900997513072741e-7,60.0
14.3,1.837874067402278e-7,60.0
14.32,1.837874067402278e-7,60.0
14.34,1.2252493782681854e-7,60.0
14.36,1.837874067402278e-7,60.0
14.38,4.288372823938649e-7,60.0
14.4,2.4504987565363707e-7,60.0
14.42,7.964120958743205e-7,60.0
14.44,4.900997513072741e-7,60.0
14.46,0.0,60.0
14.48,3.0631234456704634e-7,60.0
14.5,2.4504987565363707e-7,60.0
14.52,3.0631234456704634e-7,60.0
14.54,5.513622202206834e-7,60.0
14.56,2.4504987565363707e-7,60.0
14.58,3.675748134804556e-7,60.0
14.6,3.0631234456704634e-7,60.0
14.62,1.837874067402278e-7,60.0
14.64,1.837874067402278e-7,60.0
14.66,2.4504987565363707e-7,60.0
14.68,4.900997513072741e-7,60.0
14.7,3.675748134804556e-7,60.0
14.72,2.4504987565363707e-7,60.0
14.74,1.2252493782681854e-7,60.0
14.76,4.288372823938649e-7,60.0
14.78,1.837874067402278e-7,60.0
14.8,2.4504987565363707e-7,60.0
14.82,1.837874067402278e-7,60.0
14.84,2.4504987565363707e-7,60.0
14.86,3.0631234456704634e-7,60.0
14.88,4.288372823938649e-7,60.0
14.9,1.2252493782681854e-7,60.0
14.92,4.288372823938649e-7,60.0
14.94,3.0631234456704634e-7,60.0
14.96,3.675748134804556e-7,60.0
14.98,1.837874067402278e-7,60.0
15.0,3.0631234456704634e-7,60.0
15.02,1.2252493782681854e-7,60.0
15.04,6.126246891340927e-7,60.0
15.06,3.0631234456704634e-7,60.0
15.08,2.4504987565363707e-7,60.0
15.1,1.837874067402278e-7,60.0
15.12,3.675748134804556e-7,60.0
15.14,1.837874067402278e-7,60.0
15.16,2.4504987565363707e-7,60.0
15.18,4.900997513072741e-7,60.0
15.2,3.675748134804556e-7,60.0
15.22,3.0631234456704634e-7,60.0
15.24,2.4504987565363707e-7,60.0
15.26,4.288372823938649e-7,60.0
15.28,4.900997513072741e-7,60.0
15.3,1.2252493782681854e-7,60.0
15.32,3.675748134804556e-7,60.0
15.34,3.0631234456704634e-7,60.0
15.36,3.675748134804556e-7,60.0
15.38,1.2252493782681854e-7,60.0
15.4,1.2252493782681854e-7,60.0
15.42,4.288372823938649e-7,60.0
15.44,5.513622202206834e-7,60.0
15.46,2.4504987565363707e-7,60.0
15.48,4.288372823938649e-7,60.0
15.5,3.0631234456704634e-7,60.0
15.52,2.4504987565363707e-7,60.0
15.54,4.288372823938649e-7,60.0
15.56,1.837874067402278e-7,60.0
15.58,3.675748134804556e-7,60.0
15.6,2.4504987565363707e-7,60.0
15.62,7.964120958743205e-7,60.0
15.64,1.2252493782681854e-7,60.0
15.66,2.4504987565363707e-7,60.0
15.68,1.837874067402278e-7,60.0
15.7,3.0631234456704634e-7,60.0
15.72,3.0631234456704634e-7,60.0
15.74,4.288372823938649e-7,60.0
15.76,4.900997513072741e-7,60.0
15.78,3.0631234456704634e-7,60.0
15.8,1.2252493782681854e-7,60.0
15.82,2.4504987565363707e-7,60.0
15.84,4.288372823938649e-7,60.0
15.86,4.900997513072741e-7,60.0
15.88,5.513622202206834e-7,60.0
15.9,4.288372823938649e-7,60.0
15.92,5.513622202206834e-7,60.0
15.94,5.513622202206834e-7,60.0
15.96,3.0631234456704634e-7,60.0
15.98,3.675748134804556e-7,60.0
16.0,4.900997513072741e-7,60.0
16.02,3.675748134804556e-7,60.0
16.04,5.513622202206834e-7,60.0
16.06,4.288372823938649e-7,60.0
16.08,4.288372823938649e-7,60.0
16.1,6.126246891340927e-7,60.0
16.12,3.675748134804556e-7,60.0
16.14,1.2252493782681854e-7,60.0
16.16,1.837874067402278e-7,60.0
16.18,2.4504987565363707e-7,60.0
16.2,4.288372823938649e-7,60.0
16.22,1.837874067402278e-7,60.0
16.24,4.288372823938649e-7,60.0
16.26,2.4504987565363707e-7,60.0
16.28,3.0631234456704634e-7,60.0
16.3,1.837874067402278e-7,60.0
16.32,3.0631234456704634e-7,60.0
16.34,5.513622202206834e-7,60.0
16.36,1.2252493782681854e-7,60.0
16.38,3.0631234456704634e-7,60.0
16.4,1.837874067402278e-7,60.0
16.42,3.0631234456704634e-7,60.0
16.44,3.0631234456704634e-7,60.0
16.46,5.513622202206834e-7,60.0
16.48,3.0631234456704634e-7,60.0
16.5,3.0631234456704634e-7,60.0
16.52,3.0631234456704634e-7,60.0
16.54,1.837874067402278e-7,60.0
16.56,2.4504987565363707e-7,60.0
16.58,3.0631234456704634e-7,60.0
16.6,1.2252493782681854e-7,60.0
16.62,1.837874067402278e-7,60.0
16.64,4.288372823938649e-7,60.0
16.66,1.837874067402278e-7,60.0
16.68,3.0631234456704634e-7,60.0
16.7,2.4504987565363707e-7,60.0
16.72,6.738871580475019e-7,60.0
16.74,1.837874067402278e-7,60.0
16.76,1.837874067402278e-7,60.0
16.78,1.837874067402278e-7,60.0
16.8,3.675748134804556e-7,60.0
16.82,1.837874067402278e-7,60.0
16.84,3.675748134804556e-7,60.0
16.86,5.513622202206834e-7,60.0
16.88,5.513622202206834e-7,60.0
16.9,3.0631234456704634e-7,60.0
16.92,3.0631234456704634e-7,60.0
16.94,2.4504987565363707e-7,60.0
16.96,1.837874067402278e-7,60.0
16.98,1.2252493782681854e-7,60.0
17.0,3.675748134804556e-7,60.0
17.02,2.4504987565363707e-7,60.0
17.04,1.837874067402278e-7,60.0
17.06,5.513622202206834e-7,60.0
17.08,1.837874067402278e-7,60.0
17.1,6.126246891340927e-8,60.0
17.12,4.288372823938649e-7,60.0
17.14,4.288372823938649e-7,60.0
17.16,3.675748134804556e-7,60.0
17.18,5.513622202206834e-7,60.0
17.2,1.837874067402278e-7,60.0
17.22,2.4504987565363707e-7,60.0
17.24,3.675748134804556e-7,60.0
17.26,3.0631234456704634e-7,60.0
17.28,1.2252493782681854e-7,60.0
17.3,2.4504987565363707e-7,60.0
17.32,3.0631234456704634e-7,60.0
17.34,1.837874067402278e-7,60.0
17.36,3.0631234456704634e-7,60.0
17.38,3.675748134804556e-7,60.0
17.4,1.837874067402278e-7,60.0
17.42,3.0631234456704634e-7,60.0
17.44,4.288372823938649e-7,60.0
17.46,4.288372823938649e-7,60.0
17.48,1.837874067402278e-7,60.0
17.5,6.126246891340927e-8,60.0
17.52,1.2252493782681854e-7,60.0
17.54,1.837874067402278e-7,60.0
17.56,3.675748134804556e-7,60.0
17.58,4.288372823938649e-7,60.0
17.6,6.126246891340927e-7,60.0
17.62,3.0631234456704634e-7,60.0
17.64,1.837874067402278e-7,60.0
17.66,2.4504987565363707e-7,60.0
17.68,3.675748134804556e-7,60.0
17.7,1.837874067402278e-7,60.0
17.72,2.4504987565363707e-7,60.0
17.74,5.513622202206834e-7,60.0
17.76,1.837874067402278e-7,60.0
17.78,4.900997513072741e-7,60.0
17.8,2.4504987565363707e-7,60.0
17.82,4.900997513072741e-7,60.0
17.84,4.288372823938649e-7,60.0
17.86,1.837874067402278e-7,60.0
17.88,4.288372823938649e-7,60.0
17.9,1.2252493782681854e-7,60.0
17.92,4.288372823938649e-7,60.0
17.94,6.126246891340927e-7,60.0
17.96,6.126246891340927e-8,60.0
17.98,3.675748134804556e-7,60.0
18.0,1.837874067402278e-7,60.0
18.02,4.288372823938649e-7,60.0
18.04,4.900997513072741e-7,60.0
18.06,4.900997513072741e-7,60.0
18.08,2.4504987565363707e-7,60.0
18.1,3.675748134804556e-7,60.0
18.12,5.513622202206834e-7,60.0
18.14,6.738871580475019e-7,60.0
18.16,2.4504987565363707e-7,60.0
18.18,6.126246891340927e-7,60.0
18.2,5.513622202206834e-7,60.0
18.22,4.900997513072741e-7,60.0
18.24,1.2252493782681854e-7,60.0
18.26,1.837874067402278e-7,60.0
18.28,1.837874067402278e-7,60.0
18.3,3.0631234456704634e-7,60.0
18.32,3.675748134804556e-7,60.0
18.34,6.126246891340927e-8,60.0
18.36,1.837874067402278e-7,60.0
18.38,2.4504987565363707e-7,60.0
18.4,3.675748134804556e-7,60.0
18.42,1.2252493782681854e-7,60.0
18.44,2.4504987565363707e-7,60.0
18.46,3.675748134804556e-7,60.0
18.48,2.4504987565363707e-7,60.0
18.5,3.0631234456704634e-7,60.0
18.52,2.4504987565363707e-7,60.0
18.54,3.0631234456704634e-7,60.0
18.56,1.837874067402278e-7,60.0
18.58,5.513622202206834e-7,60.0
18.6,1.2252493782681854e-7,60.0
18.62,3.675748134804556e-7,60.0
18.64,2.4504987565363707e-7,60.0
18.66,2.4504987565363707e-7,60.0
18.68,5.513622202206834e-7,60.0
18.7,2.4504987565363707e-7,60.0
18.72,3.675748134804556e-7,60.0
18.74,3.675748134804556e-7,60.0
18.76,4.288372823938649e-7,60.0
18.78,3.675748134804556e-7,60.0
18.8,3.0631234456704634e-7,60.0
18.82,3.0631234456704634e-7,60.0
18.84,3.0631234456704634e-7,60.0
18.86,1.837874067402278e-7,60.0
18.88,4.288372823938649e-7,60.0
18.9,3.675748134804556e-7,60.0
18.92,4.288372823938649e-7,60.0
18.94,4.288372823938649e-7,60.0
18.96,5.513622202206834e-7,60.0
18.98,4.288372823938649e-7,60.0
19.0,2.4504987565363707e-7,60.0
19.02,3.675748134804556e-7,60.0
19.04,3.0631234456704634e-7,60.0
19.06,6.126246891340927e-8,60.0
19.08,1.837874067402278e-7,60.0
19.1,3.0631234456704634e-7,60.0
19.12,3.0631234456704634e-7,60.0
19.14,3.675748134804556e-7,60.0
19.16,3.675748134804556e-7,60.0
19.18,3.675748134804556e-7,60.0
19.2,4.900997513072741e-7,60.0
19.22,4.900997513072741e-7,60.0
19.24,1.2252493782681854e-7,60.0
19.26,3.675748134804556e-7,60.0
19.28,3.675748134804556e-7,60.0
19.3,3.675748134804556e-7,60.0
19.32,1.2252493782681854e-7,60.0
19.34,2.4504987565363707e-7,60.0
19.36,5.513622202206834e-7,60.0
19.38,4.900997513072741e-7,60.0
19.4,3.675748134804556e-7,60.0
19.42,4.288372823938649e-7,60.0
19.44,2.4504987565363707e-7,60.0
19.46,7.964120958743205e-7,60.0
19.48,4.900997513072741e-7,60.0
19.5,6.738871580475019e-7,60.0
19.52,4.900997513072741e-7,60.0
19.54,4.288372823938649e-7,60.0
19.56,3.0631234456704634e-7,60.0
19.58,6.126246891340927e-7,60.0
19.6,4.288372823938649e-7,60.0
19.62,3.675748134804556e-7,60.0
19.64,4.288372823938649e-7,60.0
19.66,4.900997513072741e-7,60.0
19.68,6.126246891340927e-7,60.0
19.7,2.4504987565363707e-7,60.0
19.72,1.837874067402278e-7,60.0
19.74,4.288372823938649e-7,60.0
19.76,1.2252493782681854e-7,60.0
19.78,3.675748134804556e-7,60.0
19.8,9.18937033701139e-7,60.0
19.82,4.900997513072741e-7,60.0
19.84,3.675748134804556e-7,60.0
19.86,2.4504987565363707e-7,60.0
19.88,5.513622202206834e-7,60.0
19.9,9.18937033701139e-7,60.0
19.92,4.900997513072741e-7,60.0
19.94,4.900997513072741e-7,60.0
19.96,3.0631234456704634e-7,60.0
19.98,2.4504987565363707e-7,60.0
20.0,3.675748134804556e-7,60.0
20.02,6.738871580475019e-7,60.0
20.04,6.126246891340927e-7,60.0
20.06,4.900997513072741e-7,60.0
20.08,2.4504987565363707e-7,60.0
20.1,3.675748134804556e-7,60.0
20.12,6.126246891340927e-7,60.0
20.14,6.126246891340927e-7,60.0
20.16,7.351496269609112e-7,60.0
20.18,4.288372823938649e-7,60.0
20.2,1.837874067402278e-7,60.0
20.22,3.0631234456704634e-7,60.0
20.24,5.513622202206834e-7,60.0
20.26,6.126246891340927e-7,60.0
20.28,3.0631234456704634e-7,60.0
20.3,5.513622202206834e-7,60.0
20.32,4.900997513072741e-7,60.0
20.34,5.513622202206834e-7,60.0
20.36,4.900997513072741e-7,60.0
20.38,6.738871580475019e-7,60.0
20.4,3.675748134804556e-7,60.0
20.42,3.0631234456704634e-7,60.0
20.44,8.576745647877298e-7,60.0
20.46,7.351496269609112e-7,60.0
20.48,6.738871580475019e-7,60.0
20.5,6.126246891340927e-7,60.0
20.52,6.738871580475019e-7,60.0
20.54,7.351496269609112e-7,60.0
20.56,3.675748134804556e-7,60.0
20.58,6.738871580475019e-7,60.0
20.6,7.351496269609112e-7,60.0
20.62,1.2865118471815945e-6,60.0
20.64,7.351496269609112e-7,60.0
20.66,6.126246891340927e-7,60.0
20.68,8.576745647877298e-7,60.0
20.7,7.351496269609112e-7,60.0
20.72,5.513622202206834e-7,60.0
20.74,3.675748134804556e-7,60.0
20.76,4.288372823938649e-7,60.0
20.78,6.738871580475019e-7,60.0
20.8,6.738871580475019e-7,60.0
20.82,6.738871580475019e-7,60.0
20.84,6.738871580475019e-7,60.0
20.86,1.1027244404413668e-6,60.0
20.88,5.513622202206834e-7,60.0
20.9,6.738871580475019e-7,60.0
20.92,3.675748134804556e-7,60.0
20.94,7.964120958743205e-7,60.0
20.96,6.126246891340927e-7,60.0
20.98,8.576745647877298e-7,60.0
21.0,6.126246891340927e-7,60.0
21.02,7.351496269609112e-7,60.0
21.04,4.288372823938649e-7,60.0
21.06,6.738871580475019e-7,60.0
21.08,9.18937033701139e-7,60.0
21.1,5.513622202206834e-7,60.0
21.12,9.18937033701139e-7,60.0
21.14,6.738871580475019e-7,60.0
21.16,1.2865118471815945e-6,60.0
21.18,1.2865118471815945e-6,60.0
21.2,9.801995026145483e-7,60.0
21.22,7.351496269609112e-7,60.0
21.24,1.163986909354776e-6,60.0
21.26,1.0414619715279574e-6,60.0
21.28,6.126246891340927e-7,60.0
21.3,9.801995026145483e-7,60.0
21.32,7.351496269609112e-7,60.0
21.34,9.18937033701139e-7,60.0
21.36,9.801995026145483e-7,60.0
21.38,7.351496269609112e-7,60.0
21.4,6.126246891340927e-7,60.0
21.42,1.3477743160950039e-6,60.0
21.44,1.592824191748641e-6,60.0
21.46,1.4702992539218224e-6,60.0
21.48,1.6540866606620501e-6,60.0
21.5,9.801995026145483e-7,60.0
21.52,1.5315617228352316e-6,60.0
21.54,1.409036785008413e-6,60.0
21.56,1.0414619715279574e-6,60.0
21.58,1.6540866606620501e-6,60.0
21.6,1.6540866606620501e-6,60.0
21.62,1.2865118471815945e-6,60.0
21.64,1.3477743160950039e-6,60.0
21.66,2.021661474142506e-6,60.0
21.68,2.266711349796143e-6,60.0
21.7,1.5315617228352316e-6,60.0
21.72,1.3477743160950039e-6,60.0
21.74,1.163986909354776e-6,60.0
21.76,1.8991365363156872e-6,60.0
21.78,1.2252493782681854e-6,60.0
21.8,1.5315617228352316e-6,60.0
21.82,1.7153491295754595e-6,60.0
21.84,2.51176122544978e-6,60.0
21.86,1.5315617228352316e-6,60.0
21.88,2.021661474142506e-6,60.0
21.9,2.021661474142506e-6,60.0
21.92,2.4504987565363707e-6,60.0
21.94,2.51176122544978e-6,60.0
21.96,2.940598507843645e-6,60.0
21.98,2.756811101103417e-6,60.0
22.0,2.940598507843645e-6,60.0
22.02,2.266711349796143e-6,60.0
22.04,2.573023694363189e-6,60.0
22.06,3.3081733213241003e-6,60.0
22.08,2.818073570016826e-6,60.0
22.1,2.1441864119693243e-6,60.0
22.12,3.6144856658911467e-6,60.0
22.14,3.7370106037179654e-6,60.0
22.16,3.430698259150919e-6,60.0
22.18,4.962259981986151e-6,60.0
22.2,4.778472575245923e-6,60.0
22.22,5.636147140033652e-6,60.0
22.24,5.513622202206834e-6,60.0
22.26,4.410897761765467e-6,60.0
22.28,5.2073098576397875e-6,60.0
22.3,5.758672077860471e-6,60.0
22.32,9.618207619405255e-6,60.0
22.34,9.250632805924799e-6,60.0
22.36,0.00001329395575420981,60.0
22.38,0.00001672465401336073,60.0
22.4,0.000018194953267282554,60.0
22.42,0.000023769837938402796,60.0
22.44,0.00002603654928819894,60.0
22.46,0.00003332678308889464,60.0
22.48,0.00003596106925217124,60.0
22.5,0.00003749263097500647,60.0
22.52,0.00004515043958918263,60.0
22.54,0.000047172101063325137,60.0
22.56,0.00004809103809702628,60.0
22.58,0.00005764798324751812,60.0
22.6,0.00006604094148865518,60.0
22.62,0.00007130951381520839,60.0
22.64,0.00009471177694013073,60.0
22.66,0.00013826939233756473,60.0
22.68,0.00027666130961295624,60.0
22.7,0.0018826569321779801,60.0
22.72,0.021448725516211544,60.0
22.74,0.13377156313241112,60.0
22.76,0.0697557750786265,60.0
22.78,0.0023072671042168196,60.0
22.8,0.0004290210698006051,60.0
22.82,0.0001812143830458646,60.0
22.84,0.00010304347271235439,60.0
22.86,0.00006383549260777246,60.0
22.88,0.00004613063909179718,60.0
22.9,0.000032407846055193505,60.0
22.92,0.000024750037441017343,60.0
22.94,0.00001770485351597528,60.0
22.96,0.0000165408666066205,60.0
22.98,0.000011517344155720942,60.0
23.0,9.250632805924799e-6,60.0
23.02,8.515483178963888e-6,60.0
23.04,5.636147140033652e-6,60.0
23.06,6.126246891340926e-6,60.0
23.08,5.452359733293425e-6,60.0
23.1,5.574884671120243e-6,60.0
23.12,4.778472575245923e-6,60.0
23.14,4.16584788611183e-6,60.0
23.16,4.16584788611183e-6,60.0
23.18,3.6144856658911467e-6,60.0
23.2,3.675748134804556e-6,60.0
23.22,1.9603990052290966e-6,60.0
23.24,3.0018609767570542e-6,60.0
23.26,2.573023694363189e-6,60.0
23.28,2.6342861632765984e-6,60.0
23.3,2.021661474142506e-6,60.0
23.32,2.818073570016826e-6,60.0
23.34,2.266711349796143e-6,60.0
23.36,2.021661474142506e-6,60.0
23.38,1.592824191748641e-6,60.0
23.4,1.6540866606620501e-6,60.0
23.42,1.7766115984888687e-6,60.0
23.44,1.3477743160950039e-6,60.0
23.46,1.2252493782681854e-6,60.0
23.48,1.0414619715279574e-6,60.0
23.5,1.1027244404413668e-6,60.0
23.52,1.2865118471815945e-6,60.0
23.54,9.801995026145483e-7,60.0
23.56,8.576745647877298e-7,60.0
23.58,1.409036785008413e-6,60.0
23.6,9.18937033701139e-7,60.0
23.62,7.351496269609112e-7,60.0
23.64,1.0414619715279574e-6,60.0
23.66,6.126246891340927e-7,60.0
23.68,9.18937033701139e-7,60.0
23.7,6.126246891340927e-7,60.0
23.72,9.801995026145483e-7,60.0
23.74,9.801995026145483e-7,60.0
23.76,7.351496269609112e-7,60.0
23.78,4.900997513072741e-7,60.0
23.8,6.738871580475019e-7,60.0
23.82,6.126246891340927e-7,60.0
23.84,7.351496269609112e-7,60.0
23.86,7.351496269609112e-7,60.0
23.88,4.288372823938649e-7,60.0
23.9,4.288372823938649e-7,60.0
23.92,3.675748134804556e-7,60.0
23.94,3.675748134804556e-7,60.0
23.96,4.288372823938649e-7,60.0
23.98,3.0631234456704634e-7,60.0
24.0,6.738871580475019e-7,60.0
24.02,6.126246891340927e-7,60.0
24.04,4.900997513072741e-7,60.0
24.06,5.513622202206834e-7,60.0
24.08,4.288372823938649e-7,60.0
24.1,1.837874067402278e-7,60.0
24.12,2.4504987565363707e-7,60.0
24.14,5.513622202206834e-7,60.0
24.16,3.675748134804556e-7,60.0
24.18,4.900997513072741e-7,60.0
24.2,6.126246891340927e-7,60.0
24.22,2.4504987565363707e-7,60.0
24.24,4.288372823938649e-7,60.0
24.26,1.2252493782681854e-7,60.0
24.28,6.126246891340927e-8,60.0
24.3,6.126246891340927e-7,60.0
24.32,3.675748134804556e-7,60.0
24.34,4.288372823938649e-7,60.0
24.36,4.288372823938649e-7,60.0
24.38,3.0631234456704634e-7,60.0
24.4,4.288372823938649e-7,60.0
24.42,1.837874067402278e-7,60.0
24.44,1.837874067402278e-7,60.0
24.46,4.288372823938649e-7,60.0
24.48,3.675748134804556e-7,60.0
