2theta,intensity,T
12.86,3.0631234456704634e-7,60.0
12.88,2.4504987565363707e-7,60.0
12.9,3.0631234456704634e-7,60.0
12.92,2.4504987565363707e-7,60.0
12.94,5.513622202206834e-7,60.0
12.96,7.351496269609112e-7,60.0
12.98,1.2252493782681854e-7,60.0
13.0,2.4504987565363707e-7,60.0
13.02,4.900997513072741e-7,60.0
13.04,2.4504987565363707e-7,60.0
13.06,6.126246891340927e-7,60.0
13.08,1.837874067402278e-7,60.0
13.1,1.2252493782681854e-7,60.0
13.12,2.4504987565363707e-7,60.0
13.14,1.837874067402278e-7,60.0
13.16,6.738871580475019e-7,60.0
13.18,3.675748134804556e-7,60.0
13.2,2.4504987565363707e-7,60.0
13.22,2.4504987565363707e-7,60.0
13.24,3.0631234456704634e-7,60.0
13.26,6.126246891340927e-7,60.0
13.28,1.2252493782681854e-7,60.0
