variable,value,stderr,label,temperature
osc2_amplitude,0.00016497983421288922,1.0424609085193877e-6,flake9,60
osc2_frequency,77.86189136955457,0.011747858243985033,flake9,60
osc2_decay,0.1162440324642859,0.0010145289697422637,flake9,60
osc2_phase,0.26062973851685806,0.006106581713265706,flake9,60
osc2_x0,-0.001300016059172427,0.0,flake9,60
osc32_ratio,0.0969499294828535,0.019167641437072697,flake9,60
osc3_amplitude,0.00001599478329303247,3.171740830065302e-6,flake9,60
osc3_frequency,233.5856741086637,0.03524357475869495,flake9,60
osc3_decay,0.015272245763879047,0.003983938312503892,flake9,60
osc3_phase,0.26062973851685806,0.006106581695291019,flake9,60
osc3_x0,-0.001300016059172427,0.0,flake9,60
exp_fast_amplitude,-0.00009695681016579977,1.0596930377450225e-6,flake9,60
exp_fast_decay,0.06785781420755059,0.0016294843985405942,flake9,60
exp_fast_x0,-0.001300016059172427,0.0,flake9,60
exp_slow_amplitude,-0.0006763291078532751,8.054821597512279e-7,flake9,60
exp_slow_decay,2.9901417570526045,0.021160149167959257,flake9,60
exp_slow_x0,-0.001300016059172427,0.0,flake9,60
step_x0,-0.001300000000010604,0.0,flake19,150
step_sigma,0.0006,0.0,flake19,150
osc1_amplitude,3.7851013910034517e-6,7.294385660215634e-7,flake19,150
osc1_frequency,47.3,0.0,flake19,150
osc1_decay,0.25121605554676624,0.07023349501917321,flake19,150
osc1_phase,-1.8150222035558123,0.1319263907252223,flake19,150
osc1_x0,-0.001300000000010604,0.0,flake19,150
osc2_amplitude,0.0001625685704422215,1.0530403823163338e-6,flake19,150
osc2_frequency,77.0139566561655,0.011723301997608702,flake19,150
osc2_decay,0.12009870091048655,0.0010766124975334923,flake19,150
osc2_phase,0.10560396816373274,0.006307320699643952,flake19,150
osc2_x0,-0.001300000000010604,0.0,flake19,150
osc32_ratio,0.06189943805636391,0.0160645371044303,flake19,150
osc3_amplitude,0.000010062903155999921,2.6171026263851216e-6,flake19,150
osc3_frequency,231.0418699684965,0.03516990601546031,flake19,150
osc3_decay,0.02212845151777068,0.007710437651033463,flake19,150
osc3_phase,0.10560396816373274,0.006307320705330743,flake19,150
osc3_x0,-0.001300000000010604,0.0,flake19,150
exp_fast_amplitude,-0.00014405591104946753,1.0924131943148795e-6,flake19,150
exp_fast_decay,0.06582309637809715,0.0010835528066127636,flake19,150
exp_fast_x0,-0.001300000000010604,0.0,flake19,150
exp_slow_amplitude,-0.0005425473863767208,7.832348581357597e-7,flake19,150
exp_slow_decay,3.640660417306129,0.0381645237064216,flake19,150
exp_slow_x0,-0.001300000000010604,0.0,flake19,150
step_x0,-0.001300000000010604,0.0,flake13,150
step_sigma,0.0006,0.0,flake13,150
osc1_amplitude,6.15206771851113e-6,5.325060252590834e-7,flake13,150
osc1_frequency,47.3,0.0,flake13,150
osc1_decay,0.4058209288303021,0.05874897016482683,flake13,150
osc1_phase,-1.4783623862766426,0.057011481126508556,flake13,150
osc1_x0,-0.001300000000010604,0.0,flake13,150
osc2_amplitude,0.0001467513922678945,1.1987712092537913e-6,flake13,150
osc2_frequency,78.37876630581414,0.022683431223574108,flake13,150
osc2_decay,0.07620395790619514,0.0008489887539395293,flake13,150
osc2_phase,0.22004353489365716,0.0077613988576026,flake13,150
osc2_x0,-0.001300000000010604,0.0,flake13,150
osc32_ratio,0.09792232092519573,0.020553355222987017,flake13,150
osc3_amplitude,0.000014370236929876053,3.0304567685405518e-6,flake13,150
osc3_frequency,235.13629891744242,0.06805029373319342,flake13,150
osc3_decay,0.014280590273374465,0.003928237466633152,flake13,150
osc3_phase,0.22004353489365716,0.007761398873497818,flake13,150
osc3_x0,-0.001300000000010604,0.0,flake13,150
exp_fast_amplitude,-0.0000955582918207753,9.63215729521833e-7,flake13,150
exp_fast_decay,0.07158046907613645,0.0016089783045566092,flake13,150
exp_fast_x0,-0.001300000000010604,0.0,flake13,150
exp_slow_amplitude,-0.0005748393699013181,7.837235594730176e-7,flake13,150
exp_slow_decay,2.8399174527329327,0.021566066722052798,flake13,150
exp_slow_x0,-0.001300000000010604,0.0,flake13,150
step_x0,-0.001300000000010604,0.0,flake3,150
step_sigma,0.0006,0.0,flake3,150
osc1_amplitude,0.000012386620280491348,8.680058497672267e-7,flake3,150
osc1_frequency,47.3,0.0,flake3,150
osc1_decay,0.31348757949759254,0.03344407040586078,flake3,150
osc1_phase,-1.5077432633334014,0.047547424852377146,flake3,150
osc1_x0,-0.001300000000010604,0.0,flake3,150
osc2_amplitude,0.0001771131754345307,2.854541511838965e-6,flake3,150
osc2_frequency,78.22560645143552,0.0908505378049116,flake3,150
osc2_decay,0.034807341219560306,0.0007329137591940802,flake3,150
osc2_phase,0.21922771248064382,0.014415618552734877,flake3,150
osc2_x0,-0.001300000000010604,0.0,flake3,150
osc32_ratio,0.10099029024502598,0.024047723740492584,flake3,150
osc3_amplitude,0.00001788671099335146,4.306753665636138e-6,flake3,150
osc3_frequency,234.6768193543066,0.2725516128263155,flake3,150
osc3_decay,0.015491358135827644,0.004858458386998011,flake3,150
osc3_phase,0.21922771248064382,0.014415618560676899,flake3,150
osc3_x0,-0.001300000000010604,0.0,flake3,150
exp_fast_amplitude,-0.00008572687039147574,1.571542717523161e-6,flake3,150
exp_fast_decay,0.09189152943889407,0.003767752545757279,flake3,150
exp_fast_x0,-0.001300000000010604,0.0,flake3,150
exp_slow_amplitude,-0.00067741217541533,1.6370847807099945e-6,flake3,150
exp_slow_decay,2.658368443400205,0.031061258098488857,flake3,150
exp_slow_x0,-0.001300000000010604,0.0,flake3,150
